"","Fragment.ID","Intercept","µmol.L.sec","Temp"
"1","1-ACR-1_1",184.574109583333,-0.00620124999999983,27.75748
"2","1-ACR-1_2",179.030197472527,-0.0061117582417583,27.6881111111111
"3","1-ACR-1_3",174.858498007519,-0.00619951127819533,27.6396071428571
"4","1-ACR-1_4",170.062409821429,-0.00454196428571431,27.6308076923077
"5","1-ACR-1_5",167.145892207792,-0.00429480519480507,27.6469393939394
"6","1-ACR-1_6",162.43832745614,-0.00121692982456132,27.6550526315789
"7","1-ACR-1_7",161.63554,0.00264787878787857,27.6719
"8","1-ACR-1_8",163.558675,0.00586346153846147,27.6922666666667
"9","1-ACR-1_9",166.913709090909,0.00870909090909108,27.7062666666667
"10","1-ACR-1_10",171.398506373626,0.00958373626373605,27.7336111111111
"11","1-ACR-1_11",176.979672960373,0.0111755244755243,27.75425
"12","1-ACR-1_12",183.598334242424,0.0129930303030304,27.7725294117647
"13","1-ACR-2_1",164.001869219368,-0.00490182806324119,28.03168
"14","1-ACR-2_2",160.33807122807,-0.00437298245614034,27.9477307692308
"15","1-ACR-2_3",157.283026997811,-0.00340877120963324,27.8982857142857
"16","1-ACR-2_4",154.842060014493,-0.00252334782608711,27.8842307692308
"17","1-ACR-2_5",153.498891417269,-0.00126259029927774,27.8962058823529
"18","1-ACR-2_6",151.289713225806,0.000731935483870934,27.9013333333333
"19","1-ACR-2_7",152.421647202381,0.00399446428571456,27.91315
"20","1-ACR-2_8",154.879851785714,0.00525535714285809,27.9443333333333
"21","1-ACR-2_9",157.76872,0.00907999999999959,27.9501428571429
"22","1-ACR-2_10",161.639192890443,0.00704370629370611,27.9839411764706
"23","1-ACR-2_11",165.940345629371,0.00797604895104873,27.9886666666667
"24","1-ACR-2_12",170.404823076923,0.00777032967032952,28.0018235294118
"25","1-ACR-3_1",191.780567272727,-0.00973090909090877,28.0277368421053
"26","1-ACR-3_2",186.366641111111,-0.00846333333333282,27.8537142857143
"27","1-ACR-3_3",182.531727016129,-0.00612217741935479,27.6340952380952
"28","1-ACR-3_4",175.793294047619,-0.00481785714285712,27.4226976744186
"29","1-ACR-3_5",170.679160079051,-0.00228994918125352,27.31596
"30","1-ACR-3_6",169.040018379447,4.655561829482e-05,27.284625
